tconst,averageRating,numVotes
tt0214646,5.9,153
tt0214728,5.9,665
tt0214757,4.5,484
tt0214871,3.6,1567
tt0214878,6.0,1655
tt0214959,6.6,159
tt0215129,6.5,167516
tt0215135,4.4,3469
tt0215139,6.1,478
tt0215223,5.6,45
tt0215232,4.9,241
tt0215458,5.5,123
tt0215516,6.2,1579
tt0215519,5.7,121
tt0215526,4.2,141
tt0215532,7.4,76
tt0215545,6.6,11502
tt0215651,5.1,37
tt0215679,6.1,492
tt0215681,6.6,4164
tt0215715,6.1,197
tt0215719,7.9,48
tt0215727,4.3,131
tt0215750,7.6,258031
tt0215757,3.4,547
tt0215770,5.7,33
tt0215777,6.7,210
tt0215824,4.7,42
tt0215841,6.4,221
tt0215850,6.9,509
tt0215880,5.7,110
tt0215941,3.8,132
tt0215965,5.5,179
tt0216105,6.5,111
tt0216148,5.5,77
tt0216196,4.2,760
tt0216198,7.5,33
tt0216216,5.9,121319
tt0216250,6.1,54
tt0216256,6.2,90
tt0216279,6.0,529
tt0216290,7.1,37
tt0216417,5.7,2086
tt0216522,5.1,233
tt0216523,5.1,44
tt0216578,6.8,1248
tt0216584,5.5,3912
tt0216587,3.2,88
tt0216590,5.7,324
tt0216605,5.9,1686
tt0216620,4.3,2320
tt0216625,7.1,13597
tt0216651,7.6,31461
tt0216669,6.3,95
tt0216689,6.6,1248
tt0216735,6.4,65
tt0216740,5.4,65
tt0216741,4.9,2259
tt0216746,3.7,1875
tt0216750,6.3,718
tt0216772,4.1,1282
tt0216787,7.2,9740
tt0216799,7.0,6348
tt0216800,7.1,11345
tt0216837,8.4,23
tt0216841,4.1,1032
tt0216851,3.9,659
tt0216890,4.8,471
tt0216904,6.2,202
tt0216911,6.1,1033
tt0216930,4.7,1724
tt0216941,4.9,35
tt0216965,6.1,31
tt0216982,6.2,645
tt0216983,4.2,110
tt0216990,6.7,443
tt0217007,6.0,526
tt0217019,6.1,1741
tt0217025,5.9,69
tt0217031,4.8,386
tt0217037,4.2,85
tt0217084,7.7,574
tt0217085,4.8,73
tt0217086,4.6,1390
tt0217100,7.1,297
tt0217107,3.8,665
tt0217116,6.4,90
tt0217119,6.9,1633
tt0217132,6.2,215
tt0217135,6.0,328
tt0217168,6.0,503
tt0217287,3.5,292
tt0217319,5.2,468
tt0217331,5.0,2728
tt0217355,5.7,3928
tt0217401,5.2,54
tt0217505,7.5,432790
tt0217570,4.1,240
tt0217621,4.6,423
tt0217629,7.0,3224
tt0217630,5.3,28862
tt0217654,3.4,806
tt0217664,7.5,40
tt0217686,6.3,96
tt0217716,4.5,48
tt0217756,5.3,14317
tt0217758,5.2,622
tt0217780,3.0,134
